x,y,n_cows,n_sheep,n_carcass_cows,n_carcass_sheep,n_disposed_cows,n_disposed_sheep,status,status_being_culled,status_being_disposed,status_being_vaccinated,when_became_candidate
15.0,15.0,500,0,0,0,0,0,1,False,False,False,1000
22.04803658954731,31.451620964518266,500,0,0,0,0,0,0,False,False,False,1000
9.653465690869218,30.8894839341002,500,0,0,0,0,0,0,False,False,False,1000
7.237779747412029,27.62438667999595,500,0,0,0,0,0,0,False,False,False,1000
25.250495210674675,14.357532322825868,500,0,0,0,0,0,0,False,False,False,1000
3.6204824866929055,23.702963390315453,500,0,0,0,0,0,0,False,False,False,1000
9.42511757730442,-3.6414931340027685,500,0,0,0,0,0,0,False,False,False,1000
8.351889464455686,1.1611929393384148,500,0,0,0,0,0,0,False,False,False,1000
20.15094647248677,24.72028424125186,500,0,0,0,0,0,0,False,False,False,1000
2.209761946324349,27.26715764864465,500,0,0,0,0,0,0,False,False,False,1000
28.393024657540103,11.159077438990051,500,0,0,0,0,0,0,False,False,False,1000
30.097570725814816,2.091128649680062,500,0,0,0,0,0,0,False,False,False,1000
11.265396973494493,33.294152214199144,500,0,0,0,0,0,0,False,False,False,1000
-1.5843765943058372,22.090206116633126,500,0,0,0,0,0,0,False,False,False,1000
23.84973089232523,19.62567806585921,500,0,0,0,0,0,0,False,False,False,1000
-1.9596218661442997,9.092496032377221,500,0,0,0,0,0,0,False,False,False,1000
-4.05438885375041,13.175253406094336,500,0,0,0,0,0,0,False,False,False,1000
5.120795567386269,30.684648034043427,500,0,0,0,0,0,0,False,False,False,1000
29.99153794767815,24.98412799347152,500,0,0,0,0,0,0,False,False,False,1000
12.817770613705056,23.571932282835647,500,0,0,0,0,0,0,False,False,False,1000
24.790499839530682,13.010471624415434,500,0,0,0,0,0,0,False,False,False,1000
24.830951793351026,-1.9696984801479722,500,0,0,0,0,0,0,False,False,False,1000
12.87141283001457,33.90026876771496,500,0,0,0,0,0,0,False,False,False,1000
10.329457716999634,13.302256276742055,500,0,0,0,0,0,0,False,False,False,1000
22.65204368928294,30.09189436115401,500,0,0,0,0,0,0,False,False,False,1000
17.032173108654447,-4.637824178726813,500,0,0,0,0,0,0,False,False,False,1000
18.945033133057283,16.557985543988167,500,0,0,0,0,0,0,False,False,False,1000
13.812686403790469,15.907335328414934,500,0,0,0,0,0,0,False,False,False,1000
12.335331923653092,27.14431672805629,500,0,0,0,0,0,0,False,False,False,1000
12.282306450051077,15.244556447968211,500,0,0,0,0,0,0,False,False,False,1000
20.742748928306227,16.46672303492386,500,0,0,0,0,0,0,False,False,False,1000
4.655362102021959,4.48887765452495,500,0,0,0,0,0,0,False,False,False,1000
-0.1627542629404708,17.533275731641407,500,0,0,0,0,0,0,False,False,False,1000
1.8482064217149716,12.621120597408353,500,0,0,0,0,0,0,False,False,False,1000
10.251410786132267,20.421608090793246,500,0,0,0,0,0,0,False,False,False,1000
17.20651343298669,7.502542005681455,500,0,0,0,0,0,0,False,False,False,1000
18.851727743823655,19.479574193513468,500,0,0,0,0,0,0,False,False,False,1000
31.739170957435206,15.835084637771237,500,0,0,0,0,0,0,False,False,False,1000
4.2646629083747705,3.606990299012576,500,0,0,0,0,0,0,False,False,False,1000
16.61220710548441,20.443478565236305,500,0,0,0,0,0,0,False,False,False,1000
24.751595567658832,23.303494263030103,500,0,0,0,0,0,0,False,False,False,1000
7.583552505614936,13.755294149299964,500,0,0,0,0,0,0,False,False,False,1000
24.618489057878996,11.65741105656809,500,0,0,0,0,0,0,False,False,False,1000
12.733598122849006,5.723350954185602,500,0,0,0,0,0,0,False,False,False,1000
19.313881753622418,2.8867357495248527,500,0,0,0,0,0,0,False,False,False,1000
18.72158752909415,17.781011662227375,500,0,0,0,0,0,0,False,False,False,1000
21.734824106876847,9.545752542965452,500,0,0,0,0,0,0,False,False,False,1000
6.999909539136613,17.695350706003467,500,0,0,0,0,0,0,False,False,False,1000
16.673823711421328,6.994996632665869,500,0,0,0,0,0,0,False,False,False,1000
-0.4951997791730953,14.61141664122294,500,0,0,0,0,0,0,False,False,False,1000
29.42554861778757,18.362691012432844,500,0,0,0,0,0,0,False,False,False,1000
30.881654595681034,4.36333360495826,500,0,0,0,0,0,0,False,False,False,1000
7.408208931067505,2.2665611973316846,500,0,0,0,0,0,0,False,False,False,1000
16.040152030195635,-1.8973564094281592,500,0,0,0,0,0,0,False,False,False,1000
33.823124431293465,9.23104294148768,500,0,0,0,0,0,0,False,False,False,1000
23.417842706943507,17.36955116939193,500,0,0,0,0,0,0,False,False,False,1000
-4.974715283620611,15.225997082727478,500,0,0,0,0,0,0,False,False,False,1000
16.9724823015333,-4.056751644466988,500,0,0,0,0,0,0,False,False,False,1000
5.742325988812764,32.38425289422454,500,0,0,0,0,0,0,False,False,False,1000
22.43339008332569,7.785187264237686,500,0,0,0,0,0,0,False,False,False,1000
-2.9542026696386436,10.088357852389066,500,0,0,0,0,0,0,False,False,False,1000
16.683801827723457,18.76857013998159,500,0,0,0,0,0,0,False,False,False,1000
24.420581842880498,24.32532837383104,500,0,0,0,0,0,0,False,False,False,1000
20.069802521363385,-2.704056765009149,500,0,0,0,0,0,0,False,False,False,1000
10.609935476495314,2.929519713940996,500,0,0,0,0,0,0,False,False,False,1000
-0.2093206720288432,14.508349219215258,500,0,0,0,0,0,0,False,False,False,1000
16.658234483917973,32.71331473644554,500,0,0,0,0,0,0,False,False,False,1000
28.966135095714733,5.3359867582552845,500,0,0,0,0,0,0,False,False,False,1000
6.915631363500845,19.97535011075471,500,0,0,0,0,0,0,False,False,False,1000
34.53331354195342,13.396427467632922,500,0,0,0,0,0,0,False,False,False,1000
4.780780689278673,29.58885157891698,500,0,0,0,0,0,0,False,False,False,1000
28.978129627048578,16.832833403391213,500,0,0,0,0,0,0,False,False,False,1000
14.771604887192067,23.169919267248627,500,0,0,0,0,0,0,False,False,False,1000
32.90086723015881,16.79175307038334,500,0,0,0,0,0,0,False,False,False,1000
8.051882678866377,23.78703766734988,500,0,0,0,0,0,0,False,False,False,1000
20.88893143826605,29.401086968583833,500,0,0,0,0,0,0,False,False,False,1000
6.649464063482069,29.587789864578596,500,0,0,0,0,0,0,False,False,False,1000
25.711725320509558,0.19073547363551846,500,0,0,0,0,0,0,False,False,False,1000
19.11059890313628,25.02483042232648,500,0,0,0,0,0,0,False,False,False,1000
15.453679565239787,10.463392161377918,500,0,0,0,0,0,0,False,False,False,1000
5.503442828393759,1.579216634865757,500,0,0,0,0,0,0,False,False,False,1000
26.120284083626338,15.653417600164552,500,0,0,0,0,0,0,False,False,False,1000
15.6002307725918,34.88242408251432,500,0,0,0,0,0,0,False,False,False,1000
3.5655838361229257,6.763045445763252,500,0,0,0,0,0,0,False,False,False,1000
-0.8039725793503862,4.440041051910383,500,0,0,0,0,0,0,False,False,False,1000
